firstName,lastName,movieTitle,releaseYear,iteration,categoryName,isWinner
Terrence,Malick,The Thin Red Line,1998,71st,Best Adapted Screenplay,no
John,Irving,The Cider House Rules,1999,72nd,Best Adapted Screenplay,yes
Alexander,Payne,Election,1999,72nd,Best Adapted Screenplay,no
Jim,Taylor,Election,1999,72nd,Best Adapted Screenplay,no
Frank,Darabont,The Green Mile,1999,72nd,Best Adapted Screenplay,no
Michael,Mann,The Insider,1999,72nd,Best Adapted Screenplay,no
Eric,Roth,The Insider,1999,72nd,Best Adapted Screenplay,no
Anthony,Minghella,The Talented Mr. Ripley,1999,72nd,Best Adapted Screenplay,no
Stephen,Gaghan,Traffic,2000,73rd,Best Adapted Screenplay,yes
Robert,Nelson Jacobs,Chocolat,2000,73rd,Best Adapted Screenplay,no
Wang,Hui-ling,"Crouching Tiger, Hidden Dragon",2000,73rd,Best Adapted Screenplay,no
James,Schamus,"Crouching Tiger, Hidden Dragon",2000,73rd,Best Adapted Screenplay,no
Joel,and Ethan Coen,"O Brother, Where Art Thou?",2000,73rd,Best Adapted Screenplay,no
Steve,Kloves,Wonder Boys,2000,73rd,Best Adapted Screenplay,no
Akiva,Goldsman,A Beautiful Mind,2001,74th,Best Adapted Screenplay,yes
Daniel,Clowes,Ghost World,2001,74th,Best Adapted Screenplay,no
Terry,Zwigoff,Ghost World,2001,74th,Best Adapted Screenplay,no
Todd,Field,In the Bedroom,2001,74th,Best Adapted Screenplay,no
Philippa,Boyens,The Lord of the Rings: The Fellowship of the Ring,2001,74th,Best Adapted Screenplay,no
Peter,Jackson,The Lord of the Rings: The Fellowship of the Ring,2001,74th,Best Adapted Screenplay,no
Fran,Walsh,The Lord of the Rings: The Fellowship of the Ring,2001,74th,Best Adapted Screenplay,no
Ted,Elliott,Shrek,2001,74th,Best Adapted Screenplay,no
Roger,S. H. Schulman,Shrek,2001,74th,Best Adapted Screenplay,no
Joe,Stillman,Shrek,2001,74th,Best Adapted Screenplay,no
Terry,Rossio,Shrek,2001,74th,Best Adapted Screenplay,no
Ronald,Harwood,The Pianist,2002,75th,Best Adapted Screenplay,yes
Peter,Hedges,About a Boy,2002,75th,Best Adapted Screenplay,no
Chris,Weitz,About a Boy,2002,75th,Best Adapted Screenplay,no
Paul,Weitz,About a Boy,2002,75th,Best Adapted Screenplay,no
Charlie,Kaufman,Adaptation,2002,75th,Best Adapted Screenplay,no
Bill,Condon,Chicago,2002,75th,Best Adapted Screenplay,no
David,Hare,The Hours,2002,75th,Best Adapted Screenplay,no
Philippa,Boyens,The Lord of the Rings: The Return of the King,2003,76th,Best Adapted Screenplay,yes
Peter,Jackson,The Lord of the Rings: The Return of the King,2003,76th,Best Adapted Screenplay,yes
Fran,Walsh,The Lord of the Rings: The Return of the King,2003,76th,Best Adapted Screenplay,yes
Shari,Springer Berman & Robert Pulcini,American Splendor,2003,76th,Best Adapted Screenplay,no
Bráulio,Mantovani,City of God,2002,76th,Best Adapted Screenplay,no
Brian,Helgeland,Mystic River,2003,76th,Best Adapted Screenplay,no
Gary,Ross,Seabiscuit,2003,76th,Best Adapted Screenplay,no
Alexander,Payne,Sideways,2004,77th,Best Adapted Screenplay,yes
Jim,Taylor,Sideways,2004,77th,Best Adapted Screenplay,yes
Julie,Delpy,Before Sunset,2004,77th,Best Adapted Screenplay,no
Ethan,Hawke,Before Sunset,2004,77th,Best Adapted Screenplay,no
Richard,Linklater,Before Sunset,2004,77th,Best Adapted Screenplay,no
Kim,Krizan,Before Sunset,2004,77th,Best Adapted Screenplay,no
David,Magee,Finding Neverland,2004,77th,Best Adapted Screenplay,no
Paul,Haggis,Million Dollar Baby,2004,77th,Best Adapted Screenplay,no
José,Rivera,The Motorcycle Diaries,2004,77th,Best Adapted Screenplay,no
Larry,McMurtry,Brokeback Mountain,2005,78th,Best Adapted Screenplay,yes
Diana,Ossana,Brokeback Mountain,2005,78th,Best Adapted Screenplay,yes
Dan,Futterman,Capote,2005,78th,Best Adapted Screenplay,no
Jeffrey,Caine,The Constant Gardener,2005,78th,Best Adapted Screenplay,no
Josh,Olson,A History of Violence,2005,78th,Best Adapted Screenplay,no
Tony,Kushner,Munich,2005,78th,Best Adapted Screenplay,no
Eric,Roth,Munich,2005,78th,Best Adapted Screenplay,no
William,Monahan,The Departed,2006,79th,Best Adapted Screenplay,yes
Sacha,Baron Cohen,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,79th,Best Adapted Screenplay,no
Peter,Baynham,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,79th,Best Adapted Screenplay,no
Dan,Mazer,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,79th,Best Adapted Screenplay,no
Todd,Phillips,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,79th,Best Adapted Screenplay,no
David,Arata,Children of Men,2006,79th,Best Adapted Screenplay,no
Alfonso,Cuarón,Children of Men,2006,79th,Best Adapted Screenplay,no
Mark,Fergus,Children of Men,2006,79th,Best Adapted Screenplay,no
Hawk,Ostby,Children of Men,2006,79th,Best Adapted Screenplay,no
Todd,Field,Little Children,2006,79th,Best Adapted Screenplay,no
Tom,Perrotta,Little Children,2006,79th,Best Adapted Screenplay,no
Patrick,Marber,Notes on a Scandal,2006,79th,Best Adapted Screenplay,no
Coen,Brothers,No Country for Old Men,2007,80th,Best Adapted Screenplay,yes
Christopher,Hampton,Atonement,2007,80th,Best Adapted Screenplay,no
Sarah,Polley,Away from Her,2006,80th,Best Adapted Screenplay,no
Ronald,Harwood,The Diving Bell and the Butterfly,2007,80th,Best Adapted Screenplay,no
Paul,Thomas Anderson,There Will Be Blood,2007,80th,Best Adapted Screenplay,no
Simon,Beaufoy,Slumdog Millionaire,2008,81st,Best Adapted Screenplay,yes
Eric,Roth,The Curious Case of Benjamin Button,2008,81st,Best Adapted Screenplay,no
Robin,Swicord,The Curious Case of Benjamin Button,2008,81st,Best Adapted Screenplay,no
John,Patrick Shanley,Doubt,2008,81st,Best Adapted Screenplay,no
Peter,Morgan,Frost/Nixon,2008,81st,Best Adapted Screenplay,no
David,Hare,The Reader,2008,81st,Best Adapted Screenplay,no
Geoffrey,S. Fletcher,Precious,2009,82nd,Best Adapted Screenplay,yes
Neill,Blomkamp,District 9,2009,82nd,Best Adapted Screenplay,no
Terri,Tatchell,District 9,2009,82nd,Best Adapted Screenplay,no
Nick,Hornby,An Education,2009,82nd,Best Adapted Screenplay,no
Jesse,Armstrong,In the Loop,2009,82nd,Best Adapted Screenplay,no
Simon,Blackwell,In the Loop,2009,82nd,Best Adapted Screenplay,no
Armando,Iannucci,In the Loop,2009,82nd,Best Adapted Screenplay,no
Tony,Roche,In the Loop,2009,82nd,Best Adapted Screenplay,no
Jason,Reitman,Up in the Air,2009,82nd,Best Adapted Screenplay,no
Sheldon,Turner,Up in the Air,2009,82nd,Best Adapted Screenplay,no
Aaron,Sorkin,The Social Network,2010,83rd,Best Adapted Screenplay,yes
Simon,Beaufoy,127 Hours,2010,83rd,Best Adapted Screenplay,no
Danny,Boyle,127 Hours,2010,83rd,Best Adapted Screenplay,no
Michael,Arndt,Toy Story 3,2010,83rd,Best Adapted Screenplay,no
John,Lasseter,Toy Story 3,2010,83rd,Best Adapted Screenplay,no
Andrew,Stanton,Toy Story 3,2010,83rd,Best Adapted Screenplay,no
Lee,Unkrich,Toy Story 3,2010,83rd,Best Adapted Screenplay,no
Coen,Brothers,True Grit,2010,83rd,Best Adapted Screenplay,no
Debra,Granik,Winter's Bone,2010,83rd,Best Adapted Screenplay,no
Anne,Rosellini,Winter's Bone,2010,83rd,Best Adapted Screenplay,no
Nat,Faxon,The Descendants,2011,84th,Best Adapted Screenplay,yes
Alexander,Payne,The Descendants,2011,84th,Best Adapted Screenplay,yes
Jim,Rash,The Descendants,2011,84th,Best Adapted Screenplay,yes
John,Logan,Hugo,2011,84th,Best Adapted Screenplay,no
George,Clooney,The Ides of March,2011,84th,Best Adapted Screenplay,no
Grant,Heslov,The Ides of March,2011,84th,Best Adapted Screenplay,no
Beau,Willimon,The Ides of March,2011,84th,Best Adapted Screenplay,no
Aaron,Sorkin,Moneyball,2011,84th,Best Adapted Screenplay,no
Steven,Zaillian,Moneyball,2011,84th,Best Adapted Screenplay,no
Stan,Chervin,Moneyball,2011,84th,Best Adapted Screenplay,no
Bridget,O'Connor,Tinker Tailor Soldier Spy,2011,84th,Best Adapted Screenplay,no
Peter,Straughan,Tinker Tailor Soldier Spy,2011,84th,Best Adapted Screenplay,no
Chris,Terrio,Argo,2012,85th,Best Adapted Screenplay,yes
Lucy,Alibar,Beasts of the Southern Wild,2012,85th,Best Adapted Screenplay,no
Benh,Zeitlin,Beasts of the Southern Wild,2012,85th,Best Adapted Screenplay,no
David,Magee,Life of Pi,2012,85th,Best Adapted Screenplay,no
Tony,Kushner,Lincoln,2012,85th,Best Adapted Screenplay,no
David,O. Russell,Silver Linings Playbook,2012,85th,Best Adapted Screenplay,no
John,Ridley,12 Years a Slave,2013,86th,Best Adapted Screenplay,yes
Julie,Delpy,Before Midnight,2013,86th,Best Adapted Screenplay,no
Ethan,Hawke,Before Midnight,2013,86th,Best Adapted Screenplay,no
Richard,Linklater,Before Midnight,2013,86th,Best Adapted Screenplay,no
Billy,Ray,Captain Phillips,2013,86th,Best Adapted Screenplay,no
Steve,Coogan,Philomena,2013,86th,Best Adapted Screenplay,no
Jeff,Pope,Philomena,2013,86th,Best Adapted Screenplay,no
Terence,Winter,The Wolf of Wall Street,2013,86th,Best Adapted Screenplay,no
Graham,Moore,The Imitation Game,2014,87th,Best Adapted Screenplay,yes
Jason,Hall,American Sniper,2014,87th,Best Adapted Screenplay,no
Paul,Thomas Anderson,Inherent Vice,2014,87th,Best Adapted Screenplay,no
Anthony,McCarten,The Theory of Everything,2014,87th,Best Adapted Screenplay,no
Damien,Chazelle,Whiplash,2014,87th,Best Adapted Screenplay,no
Charles,Randolph,The Big Short,2015,88th,Best Adapted Screenplay,yes
Adam,McKay,The Big Short,2015,88th,Best Adapted Screenplay,yes
Nick,Hornby,Brooklyn,2015,88th,Best Adapted Screenplay,no
Phyllis,Nagy,Carol,2015,88th,Best Adapted Screenplay,no
Drew,Goddard,The Martian,2015,88th,Best Adapted Screenplay,no
Emma,Donoghue,Room,2015,88th,Best Adapted Screenplay,no
Barry,Jenkins,Moonlight,2016,89th,Best Adapted Screenplay,yes
Tarell,Alvin McCraney,Moonlight,2016,89th,Best Adapted Screenplay,yes
Eric,Heisserer,Arrival,2016,89th,Best Adapted Screenplay,no
August,Wilson,Fences,2016,89th,Best Adapted Screenplay,no
Theodore,Melfi,Hidden Figures,2016,89th,Best Adapted Screenplay,no
Allison,Schroeder,Hidden Figures,2016,89th,Best Adapted Screenplay,no
Luke,Davies,Lion,2016,89th,Best Adapted Screenplay,no
James,Ivory,Call Me by Your Name,2017,90th,Best Adapted Screenplay,yes
Scott,Neustadter,The Disaster Artist,2017,90th,Best Adapted Screenplay,no
Michael,H. Weber,The Disaster Artist,2017,90th,Best Adapted Screenplay,no
Scott,Frank,Logan,2017,90th,Best Adapted Screenplay,no
Michael,Green,Logan,2017,90th,Best Adapted Screenplay,no
James,Mangold,Logan,2017,90th,Best Adapted Screenplay,no
Aaron,Sorkin,Molly's Game,2017,90th,Best Adapted Screenplay,no
Dee,Rees,Mudbound,2017,90th,Best Adapted Screenplay,no
Virgil,Williams,Mudbound,2017,90th,Best Adapted Screenplay,no
Spike,Lee,BlacKkKlansman,2018,91st,Best Adapted Screenplay,yes
Kevin,Willmott,BlacKkKlansman,2018,91st,Best Adapted Screenplay,yes
Coen,Brothers,The Ballad of Buster Scruggs,2018,91st,Best Adapted Screenplay,no
Nicole,Holofcener,Can You Ever Forgive Me?,2018,91st,Best Adapted Screenplay,no
Jeff,Whitty,Can You Ever Forgive Me?,2018,91st,Best Adapted Screenplay,no
Barry,Jenkins,If Beale Street Could Talk,2018,91st,Best Adapted Screenplay,no
Bradley,Cooper,A Star Is Born,2018,91st,Best Adapted Screenplay,no
Eric,Roth,A Star Is Born,2018,91st,Best Adapted Screenplay,no
Taika,Waititi,Jojo Rabbit,2019,92nd,Best Adapted Screenplay,yes
Steven,Zaillian,The Irishman,2019,92nd,Best Adapted Screenplay,no
Todd,Phillips,Joker,2019,92nd,Best Adapted Screenplay,no
Scott,Silver,Joker,2019,92nd,Best Adapted Screenplay,no
Greta,Gerwig,Little Women,2019,92nd,Best Adapted Screenplay,no
Anthony,McCarten,The Two Popes,2019,92nd,Best Adapted Screenplay,no
Christopher,Hampton,The Father,2020,93rd,Best Adapted Screenplay,yes
Florian,Zeller,The Father,2020,93rd,Best Adapted Screenplay,yes
Sacha,Baron Cohen,Borat Subsequent Moviefilm,2020,93rd,Best Adapted Screenplay,no
Peter,Baynham,Borat Subsequent Moviefilm,2020,93rd,Best Adapted Screenplay,no
Jena,Friedman,Borat Subsequent Moviefilm,2020,93rd,Best Adapted Screenplay,no
Dan,Mazer,Borat Subsequent Moviefilm,2020,93rd,Best Adapted Screenplay,no
Erica,Rivinoja,Borat Subsequent Moviefilm,2020,93rd,Best Adapted Screenplay,no
Dan,Swimer,Borat Subsequent Moviefilm,2020,93rd,Best Adapted Screenplay,no
Chloé,Zhao,Nomadland,2020,93rd,Best Adapted Screenplay,no
Kemp,Powers,One Night in Miami...,2020,93rd,Best Adapted Screenplay,no
Ramin,Bahrani,The White Tiger,2021,93rd,Best Adapted Screenplay,no
Sian,Heder,CODA,2021,94th,Best Adapted Screenplay,yes
Ryusuke,Hamaguchi,Drive My Car,2021,94th,Best Adapted Screenplay,no
Takamasa,Oe,Drive My Car,2021,94th,Best Adapted Screenplay,no
Eric,Roth,Dune,2021,94th,Best Adapted Screenplay,no
Jon,Spaihts,Dune,2021,94th,Best Adapted Screenplay,no
Denis,Villeneuve,Dune,2021,94th,Best Adapted Screenplay,no
Maggie,Gyllenhaal,The Lost Daughter,2021,94th,Best Adapted Screenplay,no
Jane,Campion,The Power of the Dog,2021,94th,Best Adapted Screenplay,no
Sarah,Polley,Women Talking,2022,95th,Best Adapted Screenplay,yes
Edward,Berger,All Quiet on the Western Front,2022,95th,Best Adapted Screenplay,no
Lesley,Paterson,All Quiet on the Western Front,2022,95th,Best Adapted Screenplay,no
Rian,Johnson,Glass Onion: A Knives Out Mystery,2022,95th,Best Adapted Screenplay,no
Kazuo,Ishiguro,Living,2022,95th,Best Adapted Screenplay,no
Ehren,Kruger,Top Gun: Maverick,2022,95th,Best Adapted Screenplay,no
Christopher,McQuarrie,Top Gun: Maverick,2022,95th,Best Adapted Screenplay,no
Eric,Warren Singer,Top Gun: Maverick,2022,95th,Best Adapted Screenplay,no
Peter,Craig,Top Gun: Maverick,2022,95th,Best Adapted Screenplay,no
Justin,Marks,Top Gun: Maverick,2022,95th,Best Adapted Screenplay,no
Cord,Jefferson,American Fiction,2023,96th,Best Adapted Screenplay,yes
Noah,Baumbach,Barbie,2023,96th,Best Adapted Screenplay,no
Greta,Gerwig,Barbie,2023,96th,Best Adapted Screenplay,no
Christopher,Nolan,Oppenheimer,2023,96th,Best Adapted Screenplay,no
Tony,McNamara,Poor Things,2023,96th,Best Adapted Screenplay,no
Jonathan,Glazer,The Zone of Interest,2023,96th,Best Adapted Screenplay,no
Peter,Straughan,Conclave,2024,97th,Best Adapted Screenplay,yes
Jay,Cocks,A Complete Unknown,2024,97th,Best Adapted Screenplay,no
James,Mangold,A Complete Unknown,2024,97th,Best Adapted Screenplay,no
Jacques,Audiard,Emilia Pérez,2024,97th,Best Adapted Screenplay,no
Thomas,Bidegain,Emilia Pérez,2024,97th,Best Adapted Screenplay,no
Léa,Mysius,Emilia Pérez,2024,97th,Best Adapted Screenplay,no
Joslyn,Barnes,Nickel Boys,2024,97th,Best Adapted Screenplay,no
RaMell,Ross,Nickel Boys,2024,97th,Best Adapted Screenplay,no
Greg,Kwedar,Sing Sing,2023,97th,Best Adapted Screenplay,no
Clarence,Maclin,Sing Sing,2023,97th,Best Adapted Screenplay,no
Aron,Warner,Shrek,2001,74th,Best Animated Feature Film,yes
John,Davis,Jimmy Neutron: Boy Genius,2001,74th,Best Animated Feature Film,no
Steve,Oedekerk,Jimmy Neutron: Boy Genius,2001,74th,Best Animated Feature Film,no
Pete,Docter,"Monsters, Inc.",2001,74th,Best Animated Feature Film,no
John,Lasseter,"Monsters, Inc.",2001,74th,Best Animated Feature Film,no
Hayao,Miyazaki,Spirited Away,2001,75th,Best Animated Feature Film,yes
Chris,Wedge,Ice Age,2002,75th,Best Animated Feature Film,no
Chris,Sanders,Lilo & Stitch,2002,75th,Best Animated Feature Film,no
Jeffrey,Katzenberg,Spirit: Stallion of the Cimarron,2002,75th,Best Animated Feature Film,no
Ron,Clements,Treasure Planet,2002,75th,Best Animated Feature Film,no
Andrew,Stanton,Finding Nemo,2003,76th,Best Animated Feature Film,yes
Aaron,Blaise,Brother Bear,2003,76th,Best Animated Feature Film,no
Robert,Walker,Brother Bear,2003,76th,Best Animated Feature Film,no
Sylvain,Chomet,The Triplets of Belleville,2003,76th,Best Animated Feature Film,no
Brad,Bird,The Incredibles,2004,77th,Best Animated Feature Film,yes
Bill,Damaschke,Shark Tale,2004,77th,Best Animated Feature Film,no
Andrew,Adamson,Shrek 2,2004,77th,Best Animated Feature Film,no
Nick,Park,Wallace & Gromit: The Curse of the Were-Rabbit,2005,78th,Best Animated Feature Film,yes
Steve,Box,Wallace & Gromit: The Curse of the Were-Rabbit,2005,78th,Best Animated Feature Film,yes
Tim,Burton,Corpse Bride,2005,78th,Best Animated Feature Film,no
Mike,Johnson,Corpse Bride,2005,78th,Best Animated Feature Film,no
Hayao,Miyazaki,Howl's Moving Castle,2004,78th,Best Animated Feature Film,no
George,Miller,Happy Feet,2006,79th,Best Animated Feature Film,yes
John,Lasseter,Cars,2006,79th,Best Animated Feature Film,no
Gil,Kenan,Monster House,2006,79th,Best Animated Feature Film,no
Brad,Bird,Ratatouille,2007,80th,Best Animated Feature Film,yes
Vincent,Paronnaud,Persepolis,2007,80th,Best Animated Feature Film,no
Marjane,Satrapi,Persepolis,2007,80th,Best Animated Feature Film,no
Chris,Buck,Surf's Up,2007,80th,Best Animated Feature Film,no
Ash,Brannon,Surf's Up,2007,80th,Best Animated Feature Film,no
Andrew,Stanton,WALL-E,2008,81st,Best Animated Feature Film,yes
Byron,Howard,Bolt,2008,81st,Best Animated Feature Film,no
Chris,Williams,Bolt,2008,81st,Best Animated Feature Film,no
Mark,Osborne,Kung Fu Panda,2008,81st,Best Animated Feature Film,no
John,Stevenson,Kung Fu Panda,2008,81st,Best Animated Feature Film,no
Pete,Docter,Up,2009,82nd,Best Animated Feature Film,yes
Henry,Selick,Coraline,2009,82nd,Best Animated Feature Film,no
Wes,Anderson,Fantastic Mr. Fox,2009,82nd,Best Animated Feature Film,no
John,Musker,The Princess and the Frog,2009,82nd,Best Animated Feature Film,no
Ron,Clements,The Princess and the Frog,2009,82nd,Best Animated Feature Film,no
Tomm,Moore,The Secret of Kells,2009,82nd,Best Animated Feature Film,no
Lee,Unkrich,Toy Story 3,2010,83rd,Best Animated Feature Film,yes
Chris,Sanders,How to Train Your Dragon,2010,83rd,Best Animated Feature Film,no
Dean,DeBlois,How to Train Your Dragon,2010,83rd,Best Animated Feature Film,no
Sylvain,Chomet,The Illusionist,2010,83rd,Best Animated Feature Film,no
Gore,Verbinski,Rango,2011,84th,Best Animated Feature Film,yes
Alain,Gagnol,A Cat in Paris,2010,84th,Best Animated Feature Film,no
Jean-Loup,Felicioli,A Cat in Paris,2010,84th,Best Animated Feature Film,no
Javier,Mariscal,Chico and Rita,2010,84th,Best Animated Feature Film,no
Fernando,Trueba,Chico and Rita,2010,84th,Best Animated Feature Film,no
Jennifer,Yuh Nelson,Kung Fu Panda 2,2011,84th,Best Animated Feature Film,no
Chris,Miller,Puss in Boots,2011,84th,Best Animated Feature Film,no
Brenda,Chapman,Brave,2012,85th,Best Animated Feature Film,yes
Mark,Andrews,Brave,2012,85th,Best Animated Feature Film,yes
Tim,Burton,Frankenweenie,2012,85th,Best Animated Feature Film,no
Chris,Butler,ParaNorman,2012,85th,Best Animated Feature Film,no
Sam,Fell,ParaNorman,2012,85th,Best Animated Feature Film,no
Peter,Lord,The Pirates! Band of Misfits,2012,85th,Best Animated Feature Film,no
Rich,Moore,Wreck-It Ralph,2012,85th,Best Animated Feature Film,no
Chris,Buck,Frozen,2013,86th,Best Animated Feature Film,yes
Jennifer,Lee,Frozen,2013,86th,Best Animated Feature Film,yes
Peter,Del Vecho,Frozen,2013,86th,Best Animated Feature Film,yes
Chris,Sanders,The Croods,2013,86th,Best Animated Feature Film,no
Kristine,Belson,The Croods,2013,86th,Best Animated Feature Film,no
Kirk,DeMicco,The Croods,2013,86th,Best Animated Feature Film,no
Chris,Renaud,Despicable Me 2,2013,86th,Best Animated Feature Film,no
Pierre,Coffin,Despicable Me 2,2013,86th,Best Animated Feature Film,no
Chris,Meledandri,Despicable Me 2,2013,86th,Best Animated Feature Film,no
Didier,Brunner,Ernest & Celestine,2012,86th,Best Animated Feature Film,no
Benjamin,Renner,Ernest & Celestine,2012,86th,Best Animated Feature Film,no
Hayao,Miyazaki,The Wind Rises,2013,86th,Best Animated Feature Film,no
Toshio,Suzuki,The Wind Rises,2013,86th,Best Animated Feature Film,no
Don,Hall,Big Hero 6,2014,87th,Best Animated Feature Film,yes
Chris,Williams,Big Hero 6,2014,87th,Best Animated Feature Film,yes
Roy,Conli,Big Hero 6,2014,87th,Best Animated Feature Film,yes
Travis,Knight,The Boxtrolls,2014,87th,Best Animated Feature Film,no
Graham,Annable,The Boxtrolls,2014,87th,Best Animated Feature Film,no
Anthony,Stacchi,The Boxtrolls,2014,87th,Best Animated Feature Film,no
Dean,DeBlois,How to Train Your Dragon 2,2014,87th,Best Animated Feature Film,no
Bonnie,Arnold,How to Train Your Dragon 2,2014,87th,Best Animated Feature Film,no
Tomm,Moore,Song of the Sea,2014,87th,Best Animated Feature Film,no
Paul,Young,Song of the Sea,2014,87th,Best Animated Feature Film,no
Isao,Takahata,The Tale of the Princess Kaguya,2013,87th,Best Animated Feature Film,no
Yoshiaki,Nishimura,The Tale of the Princess Kaguya,2013,87th,Best Animated Feature Film,no
Pete,Docter,Inside Out,2015,88th,Best Animated Feature Film,yes
Jonas,Rivera,Inside Out,2015,88th,Best Animated Feature Film,yes
Duke,Johnson,Anomalisa,2015,88th,Best Animated Feature Film,no
Charlie,Kaufman,Anomalisa,2015,88th,Best Animated Feature Film,no
Rosa,Tran,Anomalisa,2015,88th,Best Animated Feature Film,no
Alê,Abreu,Boy and the World,2013,88th,Best Animated Feature Film,no
Mark,Burton,Shaun the Sheep Movie,2015,88th,Best Animated Feature Film,no
Richard,Starzak,Shaun the Sheep Movie,2015,88th,Best Animated Feature Film,no
Hiromasa,Yonebayashi,When Marnie Was There,2014,88th,Best Animated Feature Film,no
Yoshiaki,Nishimura,When Marnie Was There,2014,88th,Best Animated Feature Film,no
Byron,Howard,Zootopia,2016,89th,Best Animated Feature Film,yes
Rich,Moore,Zootopia,2016,89th,Best Animated Feature Film,yes
Clark,Spencer,Zootopia,2016,89th,Best Animated Feature Film,yes
Travis,Knight,Kubo and the Two Strings,2016,89th,Best Animated Feature Film,no
Arianne,Sutner,Kubo and the Two Strings,2016,89th,Best Animated Feature Film,no
John,Musker,Moana,2016,89th,Best Animated Feature Film,no
Ron,Clements,Moana,2016,89th,Best Animated Feature Film,no
Osnat,Shurer,Moana,2016,89th,Best Animated Feature Film,no
Claude,Barras,My Life as a Zucchini,2016,89th,Best Animated Feature Film,no
Max,Karli,My Life as a Zucchini,2016,89th,Best Animated Feature Film,no
Michaël,Dudok de Wit,The Red Turtle,2016,89th,Best Animated Feature Film,no
Toshio,Suzuki,The Red Turtle,2016,89th,Best Animated Feature Film,no
Lee,Unkrich,Coco,2017,90th,Best Animated Feature Film,yes
Darla,K. Anderson,Coco,2017,90th,Best Animated Feature Film,yes
Tom,McGrath,The Boss Baby,2017,90th,Best Animated Feature Film,no
Ramsey,Naito,The Boss Baby,2017,90th,Best Animated Feature Film,no
Nora,Twomey,The Breadwinner,2017,90th,Best Animated Feature Film,no
Anthony,Leo,The Breadwinner,2017,90th,Best Animated Feature Film,no
Carlos,Saldanha,Ferdinand,2017,90th,Best Animated Feature Film,no
Dorota,Kobiela,Loving Vincent,2017,90th,Best Animated Feature Film,no
Ivan,Mactaggart,Loving Vincent,2017,90th,Best Animated Feature Film,no
Hugh,Welchman,Loving Vincent,2017,90th,Best Animated Feature Film,no
Bob,Persichetti,Spider-Man: Into the Spider-Verse,2018,91st,Best Animated Feature Film,yes
Peter,Ramsey,Spider-Man: Into the Spider-Verse,2018,91st,Best Animated Feature Film,yes
Rodney,Rothman,Spider-Man: Into the Spider-Verse,2018,91st,Best Animated Feature Film,yes
Phil,Lord,Spider-Man: Into the Spider-Verse,2018,91st,Best Animated Feature Film,yes
Christopher,Miller,Spider-Man: Into the Spider-Verse,2018,91st,Best Animated Feature Film,yes
Brad,Bird,Incredibles 2,2018,91st,Best Animated Feature Film,no
John,Walker,Incredibles 2,2018,91st,Best Animated Feature Film,no
Nicole,Paradis Grindle,Incredibles 2,2018,91st,Best Animated Feature Film,no
Wes,Anderson,Isle of Dogs,2018,91st,Best Animated Feature Film,no
Jeremy,Dawson,Isle of Dogs,2018,91st,Best Animated Feature Film,no
Steven,Rales,Isle of Dogs,2018,91st,Best Animated Feature Film,no
Scott,Rudin,Isle of Dogs,2018,91st,Best Animated Feature Film,no
Mamoru,Hosoda,Mirai,2018,91st,Best Animated Feature Film,no
Yuichiro,Saito,Mirai,2018,91st,Best Animated Feature Film,no
Rich,Moore,Ralph Breaks the Internet,2018,91st,Best Animated Feature Film,no
Phil,Johnston,Ralph Breaks the Internet,2018,91st,Best Animated Feature Film,no
Clark,Spencer,Ralph Breaks the Internet,2018,91st,Best Animated Feature Film,no
Josh,Cooley,Toy Story 4,2019,92nd,Best Animated Feature Film,yes
Jonas,Rivera,Toy Story 4,2019,92nd,Best Animated Feature Film,yes
Dean,DeBlois,How to Train Your Dragon: The Hidden World,2019,92nd,Best Animated Feature Film,no
Bonnie,Arnold,How to Train Your Dragon: The Hidden World,2019,92nd,Best Animated Feature Film,no
Brad,Lewis,How to Train Your Dragon: The Hidden World,2019,92nd,Best Animated Feature Film,no
Marc,du Pontavice,I Lost My Body,2019,92nd,Best Animated Feature Film,no
Sergio,Pablos,Klaus,2019,92nd,Best Animated Feature Film,no
Chris,Butler,Missing Link,2019,92nd,Best Animated Feature Film,no
Travis,Knight,Missing Link,2019,92nd,Best Animated Feature Film,no
Arianne,Sutner,Missing Link,2019,92nd,Best Animated Feature Film,no
Pete,Docter,Soul,2020,93rd,Best Animated Feature Film,yes
Dana,Murray,Soul,2020,93rd,Best Animated Feature Film,yes
Dan,Scanlon,Onward,2020,93rd,Best Animated Feature Film,no
Kori,Rae,Onward,2020,93rd,Best Animated Feature Film,no
Glen,Keane,Over the Moon,2020,93rd,Best Animated Feature Film,no
Gennie,Rim,Over the Moon,2020,93rd,Best Animated Feature Film,no
Will,Becher,A Shaun the Sheep Movie: Farmageddon,2019,93rd,Best Animated Feature Film,no
Tomm,Moore,Wolfwalkers,2020,93rd,Best Animated Feature Film,no
Paul,Young,Wolfwalkers,2020,93rd,Best Animated Feature Film,no
Jared,Bush,Encanto,2021,94th,Best Animated Feature Film,yes
Byron,Howard,Encanto,2021,94th,Best Animated Feature Film,yes
Yvett,Merino,Encanto,2021,94th,Best Animated Feature Film,yes
Clark,Spencer,Encanto,2021,94th,Best Animated Feature Film,yes
